"Gene","logFC","t","PValue","FDR"
"ENSG00000087502",-1.53810795948024,-11.4007891780503,1.48128914319281e-20,8.28027444494543e-19
"ENSG00000107796",-1.91375518101729,-11.3992102532195,1.49389461566726e-20,8.32603158873958e-19
"ENSG00000115604",-2.37420555462021,-11.3721639721846,1.72728935400665e-20,9.570199073758e-19
"ENSG00000138035",-1.93124975567853,-11.3581370970466,1.86237219305954e-20,1.02883775286967e-18
"ENSG00000166750",-1.77671956018657,-11.3510941730323,1.93413631726095e-20,1.06535847791116e-18
"ENSG00000082898",-1.08678373634422,-11.3491057803551,1.95489377704461e-20,1.07365273970748e-18
"ENSG00000033800",-1.13250051552223,-11.3470572239742,1.97651260763468e-20,1.08237047972739e-18
"ENSG00000163512",-1.40324380554093,-11.3252213416358,2.22236948380014e-20,1.21347815466165e-18
"ENSG00000175538",-1.5342997200024,-11.3228530638703,2.25081099126985e-20,1.22545599576709e-18
"ENSG00000178927",-1.20675365563319,-11.3189411793608,2.29859059871632e-20,1.24786310370657e-18
"ENSG00000100815",-1.12572648538089,-11.313318442711,2.36905079431832e-20,1.28241893285542e-18
"ENSG00000121931",-1.26359606706568,-11.3005745253086,2.53685779989724e-20,1.36540934955612e-18
"ENSG00000162777",-1.22439191435099,-11.2848731607697,2.76006059870842e-20,1.47710288518378e-18
"ENSG00000273247",-1.05006902701665,-11.2828953204543,2.78953661644838e-20,1.48864846404121e-18
"ENSG00000213172",-1.82848964584351,-11.2745850044331,2.91686997383699e-20,1.5434830496388e-18
"ENSG00000175471",-1.264826168122,-11.2750549523412,2.90951648709702e-20,1.5434830496388e-18
"ENSG00000214975",-2.14184383060865,-11.2600288012442,3.15408854487567e-20,1.66433389379182e-18
"ENSG00000175518",-2.01419439005892,-11.2568199094339,3.20892827331474e-20,1.68854164281293e-18
"ENSG00000053770",-1.3291325135098,-11.2502417343569,3.324351220054e-20,1.74440468755925e-18
