"PC","Variance_Explained_Percent"
"PC485",0.0237038411606229
"PC486",0.023571076974742
"PC487",0.0234988726005141
"PC488",0.0232909720182297
"PC489",0.0231707613900121
"PC490",0.0230771662348717
"PC491",0.0230570557549183
"PC492",0.0229505797541597
"PC493",0.0228720596665635
"PC494",0.0226752845292402
"PC495",0.022632741821429
"PC496",0.0225742056645277
"PC497",0.0223701238916419
"PC498",0.0222629556345633
"PC499",0.0221341026326184
"PC500",0.0220219388561889
"PC501",0.0218465017213124
"PC502",0.0217857214661841
"PC503",0.0215998050127668
"PC504",0.0215526747459548
"PC505",0.021476053739133
"PC506",0.0213883093270123
"PC507",0.0212831884055628
"PC508",0.0211578025624023
"PC509",0.021011382953635
"PC510",0.0208816856474287
"PC511",0.0208408209541663
"PC512",0.020778761167634
"PC513",0.0207042918590508
"PC514",0.0205309927363697
"PC515",0.0204545128852414
"PC516",0.0203211353071425
"PC517",0.0202663913813276
"PC518",0.0202267608886421
"PC519",0.0200681929724301
"PC520",0.0199202255233619
"PC521",0.0198660508081257
"PC522",0.0196770928822479
"PC523",0.0196611866702737
"PC524",0.0195450736848973
"PC525",0.0195095606572044
"PC526",0.0193679105493774
"PC527",0.0192514215750253
"PC528",0.0190539733932268
"PC529",0.01896489191779
"PC530",0.018948109038409
"PC531",0.0188625765477893
"PC532",0.0187717470351402
"PC533",0.0187288915770787
"PC534",0.0186018749598739
"PC535",0.0185091233724262
"PC536",0.0183457170263513
"PC537",0.0182400180550168
"PC538",0.0181555640977625
"PC539",0.0180975057247162
"PC540",0.0180310875470233
"PC541",0.0178851255562387
"PC542",0.0178134136474399
"PC543",0.0177347669587343
"PC544",0.0176134167914767
"PC545",0.0175106931374002
"PC546",0.0174000054866209
"PC547",0.0173783406784432
"PC548",0.0172732889770761
"PC549",0.0170707038667862
"PC550",0.0168677182263116
"PC551",0.0168369559796412
"PC552",0.016747171066564
"PC553",0.0166816336145574
"PC554",0.0166132299230111
"PC555",0.0165013646439292
"PC556",0.0164265844272339
"PC557",0.01637394848815
"PC558",0.0162816144226637
"PC559",0.016150604495877
"PC560",0.0160578042050928
"PC561",0.0160140084247504
"PC562",0.0158193586073161
"PC563",0.0156633673894022
"PC564",0.0155504473676339
"PC565",0.0155083757475293
"PC566",0.0154490504450228
"PC567",0.0154300381049858
"PC568",0.0152952923290758
"PC569",0.0151433916860388
"PC570",0.0150754398898339
"PC571",0.0148437992756986
"PC572",0.0147841180211469
"PC573",0.0147210605835884
"PC574",0.014602033084982
"PC575",0.014452834207113
"PC576",0.0144328014556178
"PC577",0.0143110694211844
"PC578",0.014199157435783
"PC579",0.0141338010535398
"PC580",0.0140581891024816
"PC581",0.0139979535055216
"PC582",0.0139123144429397
"PC583",0.0138157803981534
"PC584",0.0137749602905092
"PC585",0.0136688183268475
"PC586",0.0135584367153109
"PC587",0.0134218293066617
"PC588",0.0133518570579256
"PC589",0.0132977828435792
"PC590",0.0132066216875794
"PC591",0.013142869013428
"PC592",0.0130836402872431
"PC593",0.0129436225049896
"PC594",0.0128356306103472
"PC595",0.0127344077597769
"PC596",0.0126337548772126
"PC597",0.012614959862029
"PC598",0.0124885163966573
"PC599",0.0123594488120277
"PC600",0.0122754778841144
"PC601",0.0121926071376769
"PC602",0.0120574288869472
"PC603",0.0119803534161473
"PC604",0.0118708819774545
"PC605",0.0117401191172203
"PC606",0.0116480439690213
"PC607",0.0115903186094344
"PC608",0.0114312417842981
"PC609",0.011375982540669
"PC610",0.01134795563605
"PC611",0.0112108986304925
"PC612",0.0110853172486426
"PC613",0.010963468766571
"PC614",0.0108273606329521
"PC615",0.0106497541587815
"PC616",0.0106432028432803
"PC617",0.0105520153438327
"PC618",0.0104600162651347
"PC619",0.0103529904883009
"PC620",0.010264707550436
"PC621",0.0101833021752016
"PC622",0.00987075334200759
"PC623",0.00977905160128499
"PC624",0.00974591362353068
"PC625",0.00964718418456094
"PC626",0.00954192376556601
"PC627",0.00947902095416357
"PC628",0.00924257815140417
"PC629",0.00905147772918945
"PC630",0.00889949468495813
"PC631",0.00869881835557038
"PC632",0.00864100811203942
"PC633",0.00847098266653937
"PC634",0.00840595349987044
"PC635",1.29241622479045e-30
